athlete_name,country,discipline,year,season_best,career_best,pb_gap,meets_count,consistency,yoy_improvement,age
Charles BROCKMAN,USA,men_400h,2022,49.81,49.51,0.3,2,0.0354,-0.3,21.8
Malik JAMES-KING,JAM,men_400h,2021,49.51,49.51,0.0,2,0.2758,0.0,23.0
Malik JAMES-KING,JAM,men_400h,2023,49.66,49.51,0.15,2,0.0071,-0.15,23.0
Rayon CAMPBELL,JAM,men_400h,2022,49.52,49.52,0.0,1,0.0,0.0,18.8
Tatsuhiro YAMAMOTO,JPN,men_400h,2021,49.7,49.52,0.18,3,0.1646,0.0,25.0
Tatsuhiro YAMAMOTO,JPN,men_400h,2022,49.52,49.52,0.0,5,0.1716,0.18,25.0
Haruto DEGUCHI,JPN,men_400h,2022,49.77,49.52,0.25,2,0.1556,0.0,21.6
Haruto DEGUCHI,JPN,men_400h,2023,49.52,49.52,0.0,3,0.2403,0.25,21.6
Daiki OGAWA,JPN,men_400h,2023,49.52,49.52,0.0,4,0.0963,0.0,20.1
Johnny DUTCH,USA,men_400h,2021,49.53,49.53,0.0,3,0.1997,0.0,32.3
Jesús David DELGADO,ESP,men_400h,2021,49.53,49.53,0.0,1,0.0,0.0,22.9
Jesús David DELGADO,ESP,men_400h,2022,49.53,49.53,0.0,2,0.2051,0.0,22.9
Jonathan HARVEY,USA,men_400h,2021,49.53,49.53,0.0,5,0.1734,0.0,
Sergio FERNÁNDEZ,ESP,men_400h,2021,49.55,49.55,0.0,1,0.0,0.0,29.2
Sergio FERNÁNDEZ,ESP,men_400h,2023,49.89,49.55,0.34,1,0.0,-0.34,29.2
Mikael Antonio DE JESUS,BRA,men_400h,2022,49.55,49.55,0.0,2,0.3041,0.0,24.8
Mahdi PIRJAHAN,IRI,men_400h,2021,49.67,49.55,0.12,3,0.0737,0.0,22.4
Mahdi PIRJAHAN,IRI,men_400h,2022,49.55,49.55,0.0,3,0.1115,0.12,22.4
William SPENCER,USA,men_400h,2021,49.68,49.56,0.12,4,0.0772,0.0,
William SPENCER,USA,men_400h,2022,49.56,49.56,0.0,3,0.0961,0.12,
Dries VAN NIEUWENHOVE,BEL,men_400h,2022,49.56,49.56,0.0,1,0.0,0.0,24.2
