venue,place,country,lat,lon,elevation_m,rows
"Stadionul de atletism ""Nicolae Mărășescu"", Craiova (ROU)",Craiova,ROU,44.31667,23.8,111.0,29
"The Track at New Balance, Boston, MA (USA) (i)",,,,,,29
"Športová hala Dukla, Banská Bystrica (SVK) (i)",,,,,,29
"Pista de Atletismo da Universidade Federal do Mato Grosso, Cuiaba (BRA)",Cuiaba,BRA,-15.59611,-56.09667,193.0,28
"Stadio G. Teghil, Lignano Sabbiadoro (ITA)",Lignano Sabbiadoro,ITA,45.6759,13.11727,11.0,28
"Mestský Stadion Sletište, Kladno (CZE)",Kladno,CZE,50.14734,14.10285,390.0,28
"Albuquerque, NM (USA) (i)",,,,,,28
"Omnisport, Apeldoorn (NED) (i)",,,,,,28
"WA Athletics Stadium, Perth (AUS)",Perth,AUS,-31.95224,115.8614,23.0,27
"Centro de Treinamento Paralímpico Brasileiro, São Paulo (BRA)",São Paulo,BRA,-23.5475,-46.63611,745.0,27
"Cardinal Park, Louisville, KY (USA)",Louisville,USA,38.25424,-85.75941,144.0,27
Napoli (ITA),Napoli,ITA,13.18333,-16.18333,25.0,27
"Stade Complexe Olympique, Oran (ALG)",Oran,ALG,35.69906,-0.63588,108.0,27
"Rock Chalk Park, Lawrence, KS (USA)",Lawrence,USA,38.97167,-95.23525,265.0,27
"Estadio Universitario, Lisboa (POR)",Lisboa,POR,-20.12056,33.76583,78.0,27
"UNION-Stadion, Schönebeck (GER)",Schönebeck,GER,52.01682,11.7307,58.0,27
"Montverde, FL (USA)",Montverde,USA,28.60028,-81.67396,34.0,26
Bragança Paulista (BRA),Bragança Paulista,BRA,-22.9527,-46.54418,815.0,26
"Paul-Greifzu-Stadion, Dessau (GER)",Dessau,GER,51.83864,12.24555,63.0,26
"Stade Josette et Roger Mikulak, Angers (FRA)",Angers,FRA,47.47156,-0.55202,43.0,26
"Foote Field, Edmonton (CAN)",Edmonton,CAN,53.55014,-113.46871,613.0,26
